"","nation","o_year","sum_profit"
"111","KENYA",1993,3713988.9708
"112","KENYA",1992,3304641.834
"113","MOROCCO",1998,1815334.818
"114","MOROCCO",1997,3693214.8447
"115","MOROCCO",1996,4116175.923
"116","MOROCCO",1995,3515127.1402
"117","MOROCCO",1994,4003072.112
"118","MOROCCO",1993,3599199.6679
"119","MOROCCO",1992,3958335.4224
"120","MOZAMBIQUE",1998,1620428.7346
"121","MOZAMBIQUE",1997,2802166.6473
"122","MOZAMBIQUE",1996,2409955.1755
"123","MOZAMBIQUE",1995,2771602.6274
"124","MOZAMBIQUE",1994,2548226.2158
"125","MOZAMBIQUE",1993,2843748.9053
"126","MOZAMBIQUE",1992,2556501.0943
"127","PERU",1998,2036430.3602
"128","PERU",1997,4064142.4091
"129","PERU",1996,4068678.5671
"130","PERU",1995,4657694.8412
"131","PERU",1994,4731959.4655
"132","PERU",1993,4144006.661
"133","PERU",1992,3754635.0078
"134","ROMANIA",1998,1992773.6811
"135","ROMANIA",1997,2854639.868
"136","ROMANIA",1996,3139337.3029
"137","ROMANIA",1995,3222153.3776
"138","ROMANIA",1994,3222844.319
"139","ROMANIA",1993,3488994.0288
"140","ROMANIA",1992,3029274.442
"141","RUSSIA",1998,2339865.6635
"142","RUSSIA",1997,4153619.5424
"143","RUSSIA",1996,3772067.4041
"144","RUSSIA",1995,4704988.8607
"145","RUSSIA",1994,4479082.8694
"146","RUSSIA",1993,4767719.9791
"147","RUSSIA",1992,4533465.559
"148","SAUDI ARABIA",1998,3386948.9564
"149","SAUDI ARABIA",1997,5425980.3373
"150","SAUDI ARABIA",1996,5227607.1677
"151","SAUDI ARABIA",1995,4506731.6411
"152","SAUDI ARABIA",1994,4698658.7425
"153","SAUDI ARABIA",1993,5493626.5285
"154","SAUDI ARABIA",1992,4573560.015
"155","UNITED KINGDOM",1998,2252021.5137
"156","UNITED KINGDOM",1997,4343926.8026
"157","UNITED KINGDOM",1996,4189476.3065
"158","UNITED KINGDOM",1995,4469569.8829
"159","UNITED KINGDOM",1994,4410094.6264
"160","UNITED KINGDOM",1993,4054677.105
"161","UNITED KINGDOM",1992,3978688.8831
"162","UNITED STATES",1998,2238771.5581
"163","UNITED STATES",1997,4135581.5734
"164","UNITED STATES",1996,3624013.266
"165","UNITED STATES",1995,3892244.5172
"166","UNITED STATES",1994,3289224.1138
"167","UNITED STATES",1993,3626170.2028
"168","UNITED STATES",1992,3993973.4997
"169","VIETNAM",1998,1924313.4862
"170","VIETNAM",1997,3436195.3709
"171","VIETNAM",1996,4017288.8927
"172","VIETNAM",1995,3644054.1372
"173","VIETNAM",1994,4141277.6665
"174","VIETNAM",1993,2556114.1693
"175","VIETNAM",1992,4090524.4905
