"","p_brand","p_type","p_size","supplier_cnt"
"180","Brand#11","MEDIUM ANODIZED BRASS",45,4
"181","Brand#11","MEDIUM ANODIZED TIN",14,4
"182","Brand#11","MEDIUM BRUSHED BRASS",14,4
"183","Brand#11","MEDIUM BRUSHED BRASS",45,4
"184","Brand#11","MEDIUM BRUSHED NICKEL",14,4
"185","Brand#11","MEDIUM BRUSHED NICKEL",36,4
"186","Brand#11","MEDIUM BRUSHED STEEL",19,4
"187","Brand#11","MEDIUM BURNISHED COPPER",9,4
"188","Brand#11","MEDIUM BURNISHED TIN",36,4
"189","Brand#11","MEDIUM PLATED BRASS",3,4
"190","Brand#11","MEDIUM PLATED TIN",19,4
"191","Brand#11","PROMO ANODIZED BRASS",3,4
"192","Brand#11","PROMO ANODIZED BRASS",19,4
"193","Brand#11","PROMO ANODIZED BRASS",45,4
"194","Brand#11","PROMO ANODIZED BRASS",49,4
"195","Brand#11","PROMO ANODIZED STEEL",23,4
"196","Brand#11","PROMO ANODIZED TIN",45,4
"197","Brand#11","PROMO BRUSHED BRASS",23,4
"198","Brand#11","PROMO BRUSHED STEEL",3,4
"199","Brand#11","PROMO BURNISHED BRASS",23,4
"200","Brand#11","PROMO BURNISHED BRASS",36,4
"201","Brand#11","PROMO BURNISHED BRASS",49,4
"202","Brand#11","PROMO BURNISHED TIN",9,4
"203","Brand#11","PROMO PLATED BRASS",9,4
"204","Brand#11","PROMO PLATED BRASS",45,4
"205","Brand#11","PROMO PLATED NICKEL",19,4
"206","Brand#11","PROMO POLISHED BRASS",3,4
"207","Brand#11","PROMO POLISHED BRASS",9,4
"208","Brand#11","PROMO POLISHED BRASS",19,4
"209","Brand#11","PROMO POLISHED COPPER",14,4
"210","Brand#11","PROMO POLISHED COPPER",45,4
"211","Brand#11","PROMO POLISHED TIN",49,4
"212","Brand#11","SMALL ANODIZED COPPER",36,4
"213","Brand#11","SMALL ANODIZED NICKEL",3,4
"214","Brand#11","SMALL ANODIZED NICKEL",14,4
"215","Brand#11","SMALL ANODIZED TIN",14,4
"216","Brand#11","SMALL ANODIZED TIN",19,4
"217","Brand#11","SMALL ANODIZED TIN",45,4
"218","Brand#11","SMALL BRUSHED TIN",14,4
"219","Brand#11","SMALL BRUSHED TIN",23,4
"220","Brand#11","SMALL BRUSHED TIN",45,4
"221","Brand#11","SMALL BURNISHED BRASS",49,4
"222","Brand#11","SMALL BURNISHED COPPER",23,4
"223","Brand#11","SMALL PLATED COPPER",45,4
"224","Brand#11","SMALL PLATED NICKEL",3,4
"225","Brand#11","SMALL PLATED STEEL",36,4
"226","Brand#11","SMALL PLATED TIN",19,4
"227","Brand#11","SMALL POLISHED BRASS",14,4
"228","Brand#11","SMALL POLISHED BRASS",23,4
"229","Brand#11","SMALL POLISHED COPPER",14,4
"230","Brand#11","SMALL POLISHED COPPER",36,4
"231","Brand#11","SMALL POLISHED STEEL",9,4
"232","Brand#11","STANDARD BRUSHED COPPER",23,4
"233","Brand#11","STANDARD BRUSHED NICKEL",14,4
"234","Brand#11","STANDARD BRUSHED TIN",14,4
"235","Brand#11","STANDARD BURNISHED BRASS",3,4
"236","Brand#11","STANDARD BURNISHED STEEL",23,4
"237","Brand#11","STANDARD PLATED BRASS",19,4
"238","Brand#11","STANDARD PLATED TIN",19,4
"239","Brand#11","STANDARD POLISHED NICKEL",45,4
"240","Brand#11","STANDARD POLISHED TIN",14,4
"241","Brand#11","STANDARD POLISHED TIN",45,4
"242","Brand#12","ECONOMY ANODIZED BRASS",23,4
"243","Brand#12","ECONOMY ANODIZED COPPER",14,4
"244","Brand#12","ECONOMY ANODIZED NICKEL",19,4
"245","Brand#12","ECONOMY ANODIZED NICKEL",45,4
"246","Brand#12","ECONOMY ANODIZED STEEL",9,4
"247","Brand#12","ECONOMY BRUSHED COPPER",36,4
"248","Brand#12","ECONOMY BRUSHED NICKEL",49,4
"249","Brand#12","ECONOMY BRUSHED STEEL",49,4
"250","Brand#12","ECONOMY BURNISHED COPPER",45,4
"251","Brand#12","ECONOMY PLATED COPPER",23,4
"252","Brand#12","ECONOMY PLATED STEEL",23,4
"253","Brand#12","ECONOMY PLATED TIN",36,4
"254","Brand#12","ECONOMY POLISHED BRASS",14,4
"255","Brand#12","ECONOMY POLISHED COPPER",45,4
"256","Brand#12","ECONOMY POLISHED NICKEL",9,4
"257","Brand#12","LARGE ANODIZED NICKEL",9,4
"258","Brand#12","LARGE ANODIZED NICKEL",49,4
"259","Brand#12","LARGE ANODIZED STEEL",49,4
"260","Brand#12","LARGE ANODIZED TIN",36,4
"261","Brand#12","LARGE ANODIZED TIN",45,4
"262","Brand#12","LARGE BURNISHED BRASS",14,4
"263","Brand#12","LARGE BURNISHED BRASS",19,4
"264","Brand#12","LARGE BURNISHED COPPER",9,4
"265","Brand#12","LARGE BURNISHED NICKEL",45,4
"266","Brand#12","LARGE BURNISHED TIN",36,4
"267","Brand#12","LARGE PLATED BRASS",3,4
"268","Brand#12","LARGE PLATED STEEL",36,4
"269","Brand#12","LARGE PLATED STEEL",45,4
"270","Brand#12","LARGE PLATED TIN",23,4
"271","Brand#12","LARGE POLISHED COPPER",14,4
"272","Brand#12","LARGE POLISHED COPPER",19,4
"273","Brand#12","LARGE POLISHED COPPER",49,4
"274","Brand#12","LARGE POLISHED STEEL",3,4
"275","Brand#12","MEDIUM ANODIZED COPPER",9,4
"276","Brand#12","MEDIUM ANODIZED COPPER",45,4
"277","Brand#12","MEDIUM ANODIZED NICKEL",45,4
"278","Brand#12","MEDIUM BRUSHED BRASS",19,4
"279","Brand#12","MEDIUM BRUSHED COPPER",9,4
"280","Brand#12","MEDIUM BRUSHED COPPER",36,4
"281","Brand#12","MEDIUM BRUSHED COPPER",49,4
"282","Brand#12","MEDIUM BRUSHED NICKEL",3,4
"283","Brand#12","MEDIUM BRUSHED NICKEL",14,4
"284","Brand#12","MEDIUM BRUSHED NICKEL",23,4
"285","Brand#12","MEDIUM BURNISHED BRASS",3,4
"286","Brand#12","MEDIUM BURNISHED COPPER",36,4
"287","Brand#12","MEDIUM BURNISHED NICKEL",19,4
"288","Brand#12","MEDIUM BURNISHED TIN",14,4
"289","Brand#12","MEDIUM PLATED BRASS",23,4
"290","Brand#12","MEDIUM PLATED TIN",19,4
"291","Brand#12","MEDIUM PLATED TIN",23,4
"292","Brand#12","MEDIUM PLATED TIN",49,4
"293","Brand#12","PROMO ANODIZED BRASS",9,4
"294","Brand#12","PROMO ANODIZED BRASS",45,4
"295","Brand#12","PROMO ANODIZED NICKEL",14,4
"296","Brand#12","PROMO ANODIZED STEEL",49,4
"297","Brand#12","PROMO ANODIZED TIN",3,4
"298","Brand#12","PROMO ANODIZED TIN",19,4
"299","Brand#12","PROMO BRUSHED COPPER",14,4
"300","Brand#12","PROMO BRUSHED COPPER",19,4
"301","Brand#12","PROMO BRUSHED NICKEL",23,4
"302","Brand#12","PROMO BRUSHED STEEL",23,4
"303","Brand#12","PROMO BRUSHED STEEL",36,4
"304","Brand#12","PROMO BURNISHED BRASS",49,4
"305","Brand#12","PROMO BURNISHED TIN",9,4
"306","Brand#12","PROMO BURNISHED TIN",14,4
"307","Brand#12","PROMO PLATED BRASS",36,4
"308","Brand#12","PROMO POLISHED COPPER",23,4
"309","Brand#12","PROMO POLISHED NICKEL",3,4
"310","Brand#12","PROMO POLISHED NICKEL",9,4
"311","Brand#12","PROMO POLISHED STEEL",14,4
"312","Brand#12","PROMO POLISHED TIN",23,4
"313","Brand#12","PROMO POLISHED TIN",36,4
"314","Brand#12","SMALL ANODIZED BRASS",36,4
"315","Brand#12","SMALL ANODIZED COPPER",23,4
"316","Brand#12","SMALL ANODIZED STEEL",36,4
"317","Brand#12","SMALL ANODIZED TIN",14,4
"318","Brand#12","SMALL BRUSHED COPPER",19,4
"319","Brand#12","SMALL BRUSHED COPPER",36,4
"320","Brand#12","SMALL BRUSHED TIN",36,4
"321","Brand#12","SMALL BURNISHED BRASS",14,4
"322","Brand#12","SMALL BURNISHED COPPER",9,4
"323","Brand#12","SMALL BURNISHED COPPER",36,4
"324","Brand#12","SMALL PLATED BRASS",9,4
"325","Brand#12","SMALL POLISHED BRASS",49,4
"326","Brand#12","SMALL POLISHED NICKEL",19,4
"327","Brand#12","SMALL POLISHED TIN",3,4
"328","Brand#12","STANDARD ANODIZED BRASS",19,4
"329","Brand#12","STANDARD ANODIZED NICKEL",19,4
"330","Brand#12","STANDARD ANODIZED STEEL",19,4
"331","Brand#12","STANDARD BRUSHED COPPER",36,4
"332","Brand#12","STANDARD BRUSHED NICKEL",23,4
"333","Brand#12","STANDARD BRUSHED STEEL",49,4
"334","Brand#12","STANDARD BURNISHED BRASS",23,4
"335","Brand#12","STANDARD BURNISHED COPPER",14,4
"336","Brand#12","STANDARD BURNISHED NICKEL",45,4
"337","Brand#12","STANDARD BURNISHED NICKEL",49,4
"338","Brand#12","STANDARD BURNISHED TIN",3,4
"339","Brand#12","STANDARD BURNISHED TIN",14,4
"340","Brand#12","STANDARD PLATED BRASS",19,4
"341","Brand#12","STANDARD PLATED NICKEL",45,4
"342","Brand#12","STANDARD PLATED STEEL",36,4
"343","Brand#12","STANDARD PLATED STEEL",45,4
"344","Brand#12","STANDARD PLATED TIN",9,4
"345","Brand#12","STANDARD POLISHED BRASS",49,4
"346","Brand#12","STANDARD POLISHED COPPER",3,4
"347","Brand#12","STANDARD POLISHED NICKEL",23,4
"348","Brand#12","STANDARD POLISHED TIN",14,4
"349","Brand#13","ECONOMY ANODIZED NICKEL",14,4
"350","Brand#13","ECONOMY ANODIZED NICKEL",19,4
"351","Brand#13","ECONOMY ANODIZED STEEL",45,4
"352","Brand#13","ECONOMY ANODIZED STEEL",49,4
"353","Brand#13","ECONOMY BRUSHED BRASS",3,4
"354","Brand#13","ECONOMY BURNISHED STEEL",14,4
"355","Brand#13","ECONOMY BURNISHED TIN",19,4
"356","Brand#13","ECONOMY BURNISHED TIN",45,4
"357","Brand#13","ECONOMY PLATED COPPER",19,4
"358","Brand#13","ECONOMY PLATED NICKEL",3,4
"359","Brand#13","ECONOMY PLATED STEEL",23,4
"360","Brand#13","ECONOMY PLATED TIN",3,4
"361","Brand#13","ECONOMY POLISHED BRASS",3,4
"362","Brand#13","ECONOMY POLISHED COPPER",9,4
"363","Brand#13","ECONOMY POLISHED COPPER",49,4
"364","Brand#13","ECONOMY POLISHED STEEL",23,4
"365","Brand#13","ECONOMY POLISHED STEEL",49,4
"366","Brand#13","LARGE ANODIZED BRASS",23,4
"367","Brand#13","LARGE ANODIZED COPPER",19,4
"368","Brand#13","LARGE ANODIZED NICKEL",9,4
"369","Brand#13","LARGE ANODIZED STEEL",45,4
"370","Brand#13","LARGE ANODIZED TIN",19,4
"371","Brand#13","LARGE BRUSHED BRASS",3,4
"372","Brand#13","LARGE BRUSHED BRASS",9,4
"373","Brand#13","LARGE BRUSHED BRASS",19,4
"374","Brand#13","LARGE BRUSHED COPPER",9,4
"375","Brand#13","LARGE BRUSHED COPPER",36,4
"376","Brand#13","LARGE BRUSHED NICKEL",3,4
"377","Brand#13","LARGE BRUSHED NICKEL",9,4
"378","Brand#13","LARGE BRUSHED NICKEL",14,4
"379","Brand#13","LARGE BRUSHED NICKEL",23,4
"380","Brand#13","LARGE BRUSHED STEEL",19,4
"381","Brand#13","LARGE BRUSHED TIN",49,4
"382","Brand#13","LARGE BURNISHED BRASS",49,4
"383","Brand#13","LARGE BURNISHED TIN",49,4
"384","Brand#13","LARGE PLATED COPPER",23,4
"385","Brand#13","LARGE PLATED STEEL",14,4
"386","Brand#13","LARGE PLATED STEEL",19,4
"387","Brand#13","LARGE PLATED STEEL",36,4
"388","Brand#13","LARGE PLATED TIN",14,4
"389","Brand#13","LARGE PLATED TIN",45,4
"390","Brand#13","LARGE POLISHED BRASS",3,4
"391","Brand#13","LARGE POLISHED BRASS",23,4
"392","Brand#13","LARGE POLISHED BRASS",49,4
"393","Brand#13","MEDIUM ANODIZED BRASS",3,4
"394","Brand#13","MEDIUM ANODIZED BRASS",36,4
"395","Brand#13","MEDIUM ANODIZED COPPER",14,4
"396","Brand#13","MEDIUM ANODIZED NICKEL",3,4
"397","Brand#13","MEDIUM ANODIZED STEEL",14,4
"398","Brand#13","MEDIUM ANODIZED STEEL",19,4
"399","Brand#13","MEDIUM ANODIZED STEEL",36,4
"400","Brand#13","MEDIUM BRUSHED BRASS",49,4
"401","Brand#13","MEDIUM BRUSHED COPPER",23,4
"402","Brand#13","MEDIUM BRUSHED NICKEL",45,4
"403","Brand#13","MEDIUM BURNISHED BRASS",9,4
"404","Brand#13","MEDIUM BURNISHED STEEL",19,4
"405","Brand#13","MEDIUM BURNISHED STEEL",49,4
"406","Brand#13","MEDIUM PLATED BRASS",3,4
"407","Brand#13","MEDIUM PLATED BRASS",23,4
"408","Brand#13","MEDIUM PLATED BRASS",36,4
"409","Brand#13","MEDIUM PLATED COPPER",19,4
"410","Brand#13","MEDIUM PLATED COPPER",23,4
"411","Brand#13","MEDIUM PLATED STEEL",3,4
"412","Brand#13","PROMO ANODIZED BRASS",14,4
"413","Brand#13","PROMO ANODIZED COPPER",9,4
"414","Brand#13","PROMO ANODIZED COPPER",45,4
"415","Brand#13","PROMO ANODIZED STEEL",23,4
"416","Brand#13","PROMO BRUSHED COPPER",49,4
"417","Brand#13","PROMO BURNISHED COPPER",19,4
"418","Brand#13","PROMO BURNISHED NICKEL",9,4
"419","Brand#13","PROMO BURNISHED STEEL",23,4
"420","Brand#13","PROMO BURNISHED STEEL",45,4
"421","Brand#13","PROMO BURNISHED TIN",19,4
"422","Brand#13","PROMO PLATED BRASS",14,4
"423","Brand#13","PROMO PLATED BRASS",19,4
"424","Brand#13","PROMO PLATED COPPER",3,4
"425","Brand#13","PROMO PLATED COPPER",19,4
"426","Brand#13","PROMO PLATED TIN",19,4
"427","Brand#13","PROMO POLISHED BRASS",49,4
"428","Brand#13","PROMO POLISHED STEEL",45,4
"429","Brand#13","PROMO POLISHED TIN",14,4
"430","Brand#13","SMALL ANODIZED STEEL",23,4
"431","Brand#13","SMALL ANODIZED TIN",3,4
"432","Brand#13","SMALL ANODIZED TIN",45,4
"433","Brand#13","SMALL BRUSHED COPPER",3,4
"434","Brand#13","SMALL BRUSHED NICKEL",19,4
"435","Brand#13","SMALL BRUSHED TIN",9,4
"436","Brand#13","SMALL BRUSHED TIN",45,4
"437","Brand#13","SMALL BURNISHED BRASS",19,4
"438","Brand#13","SMALL BURNISHED BRASS",45,4
"439","Brand#13","SMALL PLATED BRASS",9,4
"440","Brand#13","SMALL PLATED TIN",45,4
"441","Brand#13","SMALL POLISHED NICKEL",19,4
"442","Brand#13","SMALL POLISHED STEEL",49,4
"443","Brand#13","STANDARD ANODIZED COPPER",45,4
"444","Brand#13","STANDARD ANODIZED NICKEL",9,4
"445","Brand#13","STANDARD ANODIZED NICKEL",19,4
"446","Brand#13","STANDARD ANODIZED STEEL",14,4
"447","Brand#13","STANDARD ANODIZED TIN",9,4
"448","Brand#13","STANDARD ANODIZED TIN",36,4
"449","Brand#13","STANDARD BRUSHED BRASS",19,4
"450","Brand#13","STANDARD BRUSHED TIN",9,4
"451","Brand#13","STANDARD BURNISHED BRASS",9,4
"452","Brand#13","STANDARD BURNISHED BRASS",14,4
"453","Brand#13","STANDARD BURNISHED COPPER",45,4
"454","Brand#13","STANDARD PLATED BRASS",49,4
"455","Brand#13","STANDARD PLATED COPPER",19,4
"456","Brand#13","STANDARD PLATED NICKEL",23,4
"457","Brand#13","STANDARD PLATED TIN",9,4
"458","Brand#13","STANDARD POLISHED BRASS",49,4
"459","Brand#13","STANDARD POLISHED COPPER",9,4
"460","Brand#13","STANDARD POLISHED COPPER",49,4
"461","Brand#13","STANDARD POLISHED NICKEL",14,4
"462","Brand#13","STANDARD POLISHED NICKEL",19,4
"463","Brand#13","STANDARD POLISHED STEEL",23,4
"464","Brand#14","ECONOMY ANODIZED BRASS",19,4
"465","Brand#14","ECONOMY ANODIZED COPPER",9,4
"466","Brand#14","ECONOMY ANODIZED STEEL",19,4
"467","Brand#14","ECONOMY ANODIZED STEEL",45,4
"468","Brand#14","ECONOMY BRUSHED BRASS",19,4
"469","Brand#14","ECONOMY BRUSHED COPPER",45,4
"470","Brand#14","ECONOMY BRUSHED NICKEL",14,4
"471","Brand#14","ECONOMY BRUSHED TIN",14,4
"472","Brand#14","ECONOMY BURNISHED COPPER",9,4
"473","Brand#14","ECONOMY BURNISHED COPPER",19,4
"474","Brand#14","ECONOMY BURNISHED STEEL",36,4
"475","Brand#14","ECONOMY BURNISHED TIN",3,4
"476","Brand#14","ECONOMY PLATED BRASS",36,4
"477","Brand#14","ECONOMY PLATED COPPER",49,4
"478","Brand#14","ECONOMY PLATED STEEL",45,4
"479","Brand#14","ECONOMY PLATED TIN",9,4
"480","Brand#14","ECONOMY POLISHED COPPER",3,4
"481","Brand#14","ECONOMY POLISHED TIN",19,4
"482","Brand#14","LARGE ANODIZED COPPER",9,4
"483","Brand#14","LARGE ANODIZED COPPER",23,4
"484","Brand#14","LARGE ANODIZED NICKEL",3,4
"485","Brand#14","LARGE ANODIZED NICKEL",9,4
"486","Brand#14","LARGE ANODIZED NICKEL",19,4
"487","Brand#14","LARGE ANODIZED TIN",9,4
"488","Brand#14","LARGE BRUSHED COPPER",14,4
"489","Brand#14","LARGE BRUSHED NICKEL",45,4
"490","Brand#14","LARGE PLATED BRASS",3,4
"491","Brand#14","LARGE PLATED NICKEL",3,4
"492","Brand#14","LARGE PLATED NICKEL",14,4
"493","Brand#14","LARGE PLATED NICKEL",49,4
"494","Brand#14","LARGE PLATED TIN",49,4
"495","Brand#14","LARGE POLISHED BRASS",9,4
